College Name,Location,About,Hostel Availability,Course Name,Fees,Cutoff (EWS),Cutoff (NT),Cutoff (OBC),Cutoff (OPEN),Cutoff (SC),Cutoff (ST),Cutoff (VJNT)
Springfield University,Springfield,Springfield University offers a wide range of undergraduate and postgraduate courses. The campus is equipped with state-of-the-art facilities and a vibrant student community.,True,Business Administration,45000,75,70,74,80,65,60,72
Springfield University,Springfield,Springfield University offers a wide range of undergraduate and postgraduate courses. The campus is equipped with state-of-the-art facilities and a vibrant student community.,True,Computer Science,50000,80,76,80,85,70,65,78
Sunrise Institute,San Francisco,Sunrise Institute has been a pioneer in education and technology. The institute offers innovative programs and emphasizes practical learning.,True,Computer Engineering,55000,80,72,76,85,70,67,74
Sunrise Institute,San Francisco,Sunrise Institute has been a pioneer in education and technology. The institute offers innovative programs and emphasizes practical learning.,True,Information Technology,58000,82,78,83,87,75,73,80
Green Valley College,Green Valley,Green Valley College is known for its research facilities and academic excellence. The college offers programs that prepare students for a successful career in various fields.,False,Biology,48000,70,70,73,75,60,58,72
Green Valley College,Green Valley,Green Valley College is known for its research facilities and academic excellence. The college offers programs that prepare students for a successful career in various fields.,False,Mathematics,47000,74,73,76,78,66,64,75
Mountain Top University,Denver,"Located in the serene environment of Denver, Mountain Top University provides exceptional academic programs and student services. It focuses on providing an immersive learning experience.",True,Engineering,55000,85,80,84,88,78,72,82
Mountain Top University,Denver,"Located in the serene environment of Denver, Mountain Top University provides exceptional academic programs and student services. It focuses on providing an immersive learning experience.",True,Environmental Science,53000,78,74,79,82,72,70,76
Ocean View Institute,Miami,Ocean View Institute is a leading educational institution located in the heart of Miami. The college focuses on providing advanced courses in emerging fields like Data Science and Marine Biology.,True,Data Science,59000,80,75,80,85,72,70,78
Ocean View Institute,Miami,Ocean View Institute is a leading educational institution located in the heart of Miami. The college focuses on providing advanced courses in emerging fields like Data Science and Marine Biology.,True,Marine Biology,60000,88,82,87,90,80,75,85
Riverbank Academy,London,"Riverbank Academy provides world-class education in a variety of disciplines. With a focus on holistic development, the academy offers opportunities for personal and professional growth.",False,Law,50000,77,70,75,80,68,65,72
Riverbank Academy,London,"Riverbank Academy provides world-class education in a variety of disciplines. With a focus on holistic development, the academy offers opportunities for personal and professional growth.",False,Literature,48000,72,67,70,76,65,60,68
Redwood College,Los Angeles,Redwood College offers innovative courses and a rich cultural environment. The college is known for its strong emphasis on research and community outreach.,True,Psychology,52000,80,74,78,85,70,68,76
Redwood College,Los Angeles,Redwood College offers innovative courses and a rich cultural environment. The college is known for its strong emphasis on research and community outreach.,True,Sociology,50000,74,70,73,78,65,60,72
Westfield University,Chicago,Westfield University offers an inclusive environment that fosters creativity and innovation. The campus is home to students from across the globe.,False,Chemistry,48000,75,69,72,79,67,63,71
Westfield University,Chicago,Westfield University offers an inclusive environment that fosters creativity and innovation. The campus is home to students from across the globe.,False,Physics,51000,78,72,76,82,70,65,74
Horizon Academy,Austin,"Horizon Academy is committed to shaping the next generation of leaders. With a diverse range of courses and a student-centered approach, it offers an excellent education.",True,Artificial Intelligence,57000,85,80,84,88,78,75,82
Horizon Academy,Austin,"Horizon Academy is committed to shaping the next generation of leaders. With a diverse range of courses and a student-centered approach, it offers an excellent education.",True,Robotics,54000,80,75,79,85,73,70,78
Summit College,New York,Summit College is known for its cutting-edge technology and strong academic programs. The campus is ideal for students who wish to excel in their fields.,True,Cybersecurity,53000,80,73,77,83,72,68,75
Summit College,New York,Summit College is known for its cutting-edge technology and strong academic programs. The campus is ideal for students who wish to excel in their fields.,True,Data Analytics,56000,81,76,80,85,74,72,78
